Name,mass,radio,x,y,vel,prad
0,1989000000000000000000000000000,696340000,0,0,0.0,0.0
1,5972000000000000000000000,6371000,0,152800412000,29398.26502473486,0.0
2,328500000000000000000000,2439700,69800000000,0,43380.74673675716,4.71
